,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
5346,49401,Высоцкий,Алексей,Олегович,МГУ имени М.В.Ломоносова,,Москва
5347,49375,Vershinin,Yuri,A.,Coventry University,,Coventry
5348,49357,Черникова,Наталья,Юрьевна,Российский университет дружбы народов,,
5349,49346,Фоменко,Анатолий,Тимофеевич,Московский Государственный Университет им. М.В. Ломоносова,,Москва
5350,49343,Жокина,Надежда,Алексеевна,ФГБОУ ВО &quot;Рязанский государственный университет им. С.А. Есенина,,Рязань
5353,42458,Рыжов,Александр,Павлович,ИПУ РАН,,Москва
5354,583,Покровская,Ирина,Вячеславовна,ИПУ РАН,,Москва
5357,43426,Лавриков,Александр,Владимирович,ИПУ РАН,,Москва
5358,267,Заложнев,Алексей,Юрьевич,ИПУ РАН,"2019;Russian Academy of Sciences, 2019;Russian Academy of Sciences, V.A. Trapeznikov Institute of Control Sciences, Moscow, Russian Federation, 2019;State Social University, 2019;V.A. Trapeznikov Institute of Control Sciences, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;Институт проблем управления им. В. А. Трапезникова РАН",Москва
5362,126,Вагин,Дмитрий,Вениаминович,ИПУ РАН,,Москва
5367,49282,Рычихина,Юлия,Васильевна,РУДН,,Москва
5368,49274,Перзеке,Николай,Борисович, Крымский федеральный университет им. В.И. Вернадского,,
5370,49245,Суслова ,Светлана ,Александровна,Липецкий гостехуниверситет,,г. Липецк
5371,49244,Добрынин   ,Кирилл,ЮРЬЕВИЧ,Липецкий гостехуниверситет,,г. Липецк
5372,49243, Васютин  , ДМИТРИЙ  ,Игоревич, ЛГТУ,,г. Липецк
5373,49236,Байбурин,Вил,Бариевич,СГТУ,,
5375,49222,До,Хуи,Хыонг,МФТИ,,Москва
5376,49221,Фам,Туан,Ань,МФТИ,,Москва
5377,49219,Дуванов,Евгений,Сергеевич,Липецкий гостехуниверситет,,Липецк
5378,49218,Астафьева,Мария,Алексеевна,Липецкий гостехуниверситет,,Липецк
5381,49203,Вовенко,Татьяна,Анатольевна,ООО &quot;Геотехнологии&quot;,,
5382,49194,Yagur,Alena,A.,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики",,Санкт-Петербург
5383,49189,Влацкий,Валерий,Викторович,ОНЦ УрО РАН,,Оренбург
5384,49177,Мосолова,Юлия,Михайловна,МГУ имени М.В.Ломоносова,,
5385,49174,Гусева,Виктория,Сергеевна,МГУ имени М.В.Ломоносова,,
5386,49168,Свихнушина,Екатерина,Андреевна,МФТИ,,Москва
5387,49157,Калугина,Анастасия,Дмитриевна,ИПУ РАН,,Москва
5388,49149,Кушников,Олег,Вадимович,СГТУ,,
5390,49137,Эдель,Д.,А.,-,,Москва
5395,49077,Sirukhi ,Joseph ,Were,ENERGAS LLC,,Nairobi
5396,49057,Захаренко,Маргарита,Владимировна,ФГБУ «РНЦРР» Минздрава России,,Москва
5397,49056,Болотина,Наталья,Александровна,ФГБУ «РНЦРР» Минздрава России,,Москва
5399,49046,Гурневич,Гржегош,Александр,Университет Казимира Великого в Быдгощи,,
5400,49044,Сафонкин,Никита,Александрович,ВШЭ,,
5401,49040,Бабаев,Денис,Игоревич,ВНИИАЭС,,
5402,49035,Богорадникова,А,В,РТУ МИРЭА,,
5419,91,Белова,Ольга,Николаевна,ИПУ РАН,,Москва
5425,48987,Мияйлович,Невена,Николаевна,Университет Черногории,,Подгорица
5426,48984,Каледина,Елена,Александровна,Национальный исследовательский Мордовский государственный университет имени Н.П. Огарева,,Саранск
5429,48978,Васильева,Дарья,Георгиевна,РУДН,,Москва
5430,48977,Васильев ,Сергей,Анатольевич,РУДН,,Москва
5432,48975,Севастьянов ,Леонид ,Антонович,РУДН,,Москва
5436,48948,Алиев,Александр,Семенович,ФИЦ ИУ РАН,,Москва
5437,48943,Volkovich,Zeev,-,Haifa University,,Karmiel
5438,48933,Дарховский,Борис,Семенович,ФИЦ ИУ РАН,,Москва
5439,48930,Левитин,Евгений,Соломонович,ФИЦ ИУ РАН,,Москва
5440,48925,Жиров,Михаил,Вениаминович,Московский гос. университет пищевых производств ,,Москва
5441,48919,Дубнов,Юрий,Андреевич,ФИЦ ИУ РАН,,Москва
5442,48918,Лысак,Юрий,Николаевич,-,,
5443,48917,Попков,Алексей,Юрьевич,ФИЦ ИУ РАН,,Москва
5444,48900,Боженко,Владимир,Константинович,ФГБУ «РНЦРР» Минздрава России,,Москва
5445,48899,Антонова,Ирина,Борисовна,ФГБУ «РНЦРР» Минздрава России,,Москва
5446,48892,Павлова,Екатерина,Алексеевна,Национальный исследовательский Томский государственный университет,,Томск
5447,48873,Барулина,Марина,Александровна,ИПТМУ РАН,,
5448,48864,Лютин,Владимир,Иванович,ВУНЦ ВВС,,Воронеж
5449,48863,Ахрем,Андрей,Афанасьевич,ФИЦ Информатики и управления,,Москва
5450,48862,Рахманкулов,Вил,Закирович,ФИЦ Информатики и управления,,Москва
5451,48842,Леонидов,Андрей,Владимирович,ФИАН,,Москва
5452,48840,Эченике,Владимир,Хосе,"МГУ, экономический факультет",,Москва
5453,48834,Ушакова,Мария,Викторовна,МИСИС,,Москва
5454,48833,Разбегин,Валентин,Петрович,МИСИС,,Москва
5456,48822,Кушнир,Константин,Петрович,МГУТУ,,Москва
5457,48821,Жирова,Вера,Владимировна,МГУТУ,,Москва
5459,48813,Борковская,Виктория,Геннадиевна,Национальный исследовательский московский государственный  строительный университет (НИУ МГСУ)),,Москва
5460,48808,Баттайя,Ольга,нет,ISAE,,"Toulouse, France"
5461,48805,Hasnaoui ,Amir ,-,"La Rochelle Business School, France ",,
5462,48767,Митьков,Виталий,Валерьевич,Сибирский  государственный индустриальный  университет. Институт  информационных технологий и автоматизированных систем.т ,,
5463,48765,Зимин,Алексей,Валерьевич,ООО &quot;АудитЭнергоНовосибирск&quot;,,
5464,48764,Дегаев ,Евгений ,Николаевич,Национальный исследовательский московский государственный  строительный университет (НИУ МГСУ)),,
5465,48763,Титаренко,Роман,Борисович,Институт  менеджмента и права,,
5466,48762,Титаренко,Борис ,Петрович,Национальный исследовательский московский государственный  строительный университет (НИУ МГСУ)),,
5467,48746,Неретин,Иван,Сергеевич,Rock Flow Dynamics,,Москва
5468,48733,Пинаева,М.,А.,"ВГТУ, кафедра управления строительством",,Воронеж
5469,48727,Окорачкова,Екатерина,Алексеевна,НИУ ВШЭ,,Москва
5470,48719,Цёхла,Светлана,Юрьевна,КФУ им. В.И. Вернадского,,Симферополь
5471,48718,Симченко,Наталья,Александровна,КФУ им. В.И. Вернадского,,Симферополь
5472,48716,Ibragimova,Z.,N.,Chechen State Pedagogical University,,
5473,48715,Ibakhadzhieva,L.,A.,Chechen State Pedagogical University,,
5474,48714,Bashaeva,S.,A., Chechen State Pedagogical University,,
5475,48713,Asilderova,M.,M., Dagestan State Pedagogical University,,
5476,48712,Lobanova,O.,B.,Lesosibirsk Pedagogical Institute,,
5477,48695,Теплов,Глеб,И.,МАИ,,
5479,48676,Максимова,Маргарита,Максимовна,НИУ ВШЭ,,Москва
5480,48674,Шамба,Дина,Валикоевна,ИПУ,,Москва
5481,48660,Шаврин,Сергей,Сергеевич,МТУСИ,,Москва
5482,48658,Коршунов,Владимир ,Николаевич,МТУСИ,,Москва
5483,48646,Žák,Štefan , -,?,,
5484,48645,Fodranová,Iveta, -,?,,
5485,48644,Kubičková,Viera, -,?,,
5487,48624,Кушелева,Екатерина,Васильевна,СГУ,,Саратов
5488,48621,Самарцев,Андрей,Алексеевич,ИПТМУ РАН,,Саратов
5489,48611,Семиатковский,Петр,В,Университет Николая Коперника,,
5490,48610,Редо,Магдалена,А,Университет Николая Коперника,,
5491,48609,Редо,Ярослав,Н,Университет Николая Коперника,,
5492,48608,Петрович,Артур ,В,Университет Николая Коперника,,
5494,48606,Янковска,Эва,А,Высшая банковская Школа в Торуне,,
5495,48605,Чеслик,Эва,А,Экономический университет в Познани,,
5496,48600,Кучмаева,Оксана,Викторовна,НИУ ВШЭ,,Москва
5497,48597,Сухарева,Надежда,Александровна,НИУ ВШЭ,,Москва - Пенза
5498,48575,Смирнов,А,Д,-,,
5499,48564,Смирнов,Георгий,Валентинович,University of Minho,,Braga
5501,48554,Амелина,Ксения,Евгеньевна,МГТУ им. Н.Э. Баумана,,Москва
5502,48546,Матвеев,Иван,Владимирович,&quot;РЭУ им. Г.В. Плеханова&quot;,,
5503,48545,Киселев,Владислав,Викторович,&quot;РЭУ им. Г.В. Плеханова&quot;,,
5504,48544,Цехов ,Александр,Сергеевич,&quot;РЭУ им. Г.В. Плеханова&quot;,,
5505,48543,Крутько,Мария,Алексеевна,&quot;РЭУ им. Г.В. Плеханова&quot;,,
5506,48534,Шестаков,А.,А.,Южно-Уральский государственныйуниверситет (национальный исследовательский университет),,Челябинск
5507,48533,Максимов,А.,А.,Южно-Уральский государственныйуниверситет (национальный исследовательский университет),,Челябинск
5510,48514,Вишневская,Юлия,Владимировна,Киевский университет туризма экономики и права,,
5511,48513,Пушкарь,Марина,Владимировна,Национальный университет биоресурсов и природопользования,,
5512,48512,Колесников,Юрий,Александрович,Южный федеральный университет,,
5513,48505,Крутских,Н.,В.,ИГ КарНЦ,,Петрозаводск
5514,48498,Вершинин,Владимир,-,Институт математики им. Соболева,,Новосибирск
5515,48491,Карпова,Ирина,Петровна,Национальный исследовательский университет &quot;Высшая школа экономики&quot;,,Москва
5516,48490,Карпов,Валерий,Эдуардович,Национальный исследовательский центр &quot;Курчатовский институт&quot;,,Москва
5517,48480,Чепурко,Юрий,Александрович,Кубанский государственный университет,,
5518,48479,Петровская,Анна,Викторовна,Краснодарский филиал РЭУ им. Г.В. Плеханова,,
5519,48478,Дробышевская ,Лариса,Николаевна,Кубанский государственный университет,,
5520,48470,Саркисян,Жаклин ,Меружановна,МГИМО (У) МИД РОССИИ,,
5521,48450,Alperovich,E,E,"ALPIR Inc, New York, USA",,
5522,48449,Alperovich ,Y,E,"ALPIR Inc, New York, USA",,
5524,48438,Фокин,Станислав,Николаевич,НАН Белоруссии,,Минск
5525,48434,Ауер,В.,-," Smartbow GmbH, Jutogasse",,
5526,48433,Дриллих,М.,-,University of Veterinary Medicine Vienna,,
5527,48432,Иверсен,М.,-,University of Veterinary Medicine Vienna,,
5528,48431,Роланд,Л.,-,University of Veterinary Medicine Vienna,,
5529,48430,Мейер,Д.,-,"Linz Center of Mechatronics Gmbh, Austria",,Linz
5531,48428,Штурм,В.,-," Linz Center of Mechatronics Gmbh, Austria ",,Linz
5534,48422,Анисимов,В.,Г.,Московский научно-исследовательский радиотехнический институт,,
5535,48417,Адамец,Дмитрий,Юрьевич,ЗАО &quot;Инвест&quot;,,
5536,48416,Пономарев,Валерий,Александрович,Воронежский институт ФСИН РФ,,Воронеж
5537,48415,Калинина,Наталия,Юрьевна,"ВГТУ, кафедра управления строительством",,Воронеж
5538,48414,Фаддеев Александр,Александр,Олегович,"Академия права и управления Федеральной службы исполнения наказаний России, кафедра матаматики и информационных технологий управления.",,Рязань
5540,48412,Китиков,Вадим ,Олегович,Институт жилищно-коммунального хозяйства,,Минск
5541,48411,Коренная,Кристина,Александровна,Южно-Уральский государственныйуниверситет (национальный исследовательский университет),,Челябинск
5542,48410,Гельруд,Яков,Давидович,Южно-Уральский государственныйуниверситет (национальный исследовательский университет),,Челябинск
5543,48390,Дивья,В.,-,"Department of Mathematics, N.S.S. College, India",,Cherthala
5544,48370,Ashjaee,Javad,?,ООО Джавад Джи Эн Эс Эс ,,
5545,48369,Матросов,Иван,Владимирович,ООО Джавад Джи Эн Эс Эс ,,
5546,48368,Конышев,В.,А.,ООО &quot;Т8&quot;,,Москва
5547,48367,Убайдуллаев,Р.,Р.,ООО &quot;Т8&quot;,,Москва
5549,48356,Витовтов,К.,А.,Астраханский государственный технический университета,,Астрахань
5551,48354,Барабанова,Елизавета,Александровна,Астраханский государственный техническийо университет ,,Астрахань
5553,48348,Федоров,Алексей,Алексеевич,Huawei R&amp;D Centr,,Москва
5554,48347,Ляшев ,Владимир,Александрович,Huawei R&amp;D Centr,,Москва
5555,48341,Шандаров,Евгений,Станиславович,ТУСУР,,
5556,48334,Грабова,Анна,Юрьевна,РУДН,,Москва
5560,48314,Мырова,Л.,О.,МНИРТИ,,Москва
5561,48313,Переломов,В.,Н.,МНИРТИ,,Москва
5562,48311,Банару,Александр,Михайлович,химфак МГУ,,Москва
5563,48309,Артамонов,Вячеслав,Александрович,мехмат МГУ,,Иосква
5567,632,Рывкин,Сергей,Ефимович,ИПУ РАН,,Москва
5571,438,Лебедев,Виталий,Николаевич,ИПУ РАН,,Москва
5572,11587,Аминев,Булат,Даянович,ИПУ РАН,,Москва
5573,46,Антонов,Андрей,Викторович,ИПУ РАН,,Москва
5574,617,Рассадин,Юрий,Михайлович,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences RAS,, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
5575,48286,Голова,Елена ,Владимировна,МГТУ &quot;СТАНКИН&quot;,,Москва
5576,48285,Гущин,Игорь ,Александрович,МГТУ &quot;СТАНКИН&quot;,,Москва
5577,48284,Гончарова,Вера,Алексеевна,МГТУ &quot;СТАНКИН&quot;,,Москва
5578,48271,Żylawski,A.,-,Warsaw School of Computer Science,,Warsaw
5579,48266,Пранди,Дарио,.,Laboratoire des signaux et systèmes: L2S,,Gif-sur-Yvette
5582,48257,Кириленко,Лариса,Витальевна,Технический центр НАН Украины,,Киев
5583,48256,Дунаев,Борис,Борисович,ГУНО “Академия финансового управления»,,Киев
5584,48249,Журавлев,А,К,ВГТУ,,Воронеж
5585,48248,Нижельский,Е,Р,ВГТУ,,Воронеж
5586,48247,Тихомиров,Н,М,ВГТУ,,Воронеж
5587,48243,Осипов,В,В,ФНЦ НИИСИ РАН,,Москва
5588,48242,Моисеев,А,А,МГТУ им. Н.Э. Баумана,,Москва
5589,48230,Мальгинов,Георгий,Николаевич,РАНХиГС,,Москва
5590,48229,Урошлев ,Л.,А.,Институт общей генетики им. Н.И. Вавилова РАН,,Москва
5591,48221,Карасев,Роман,Николаевич,МФТИ,,
5592,48220,Богданов,Илья,Игоревич,МФТИ,,
5594,48214,Божинская,Ольга,Михайловна,Российский университет дружбы народов,,Москва
5595,48212,Шульга,Михаил,Михайлович,НИУ ВШЭ,,Москва
5596,48208,Кононов,Алексей,Игоревич,Oracle Russia,,Москва
5597,48204,Аджубей,Алексей,Алексеевич,(Институт молекулярной биологии им. В.А.Энгельгардта РАН),,Москва - Пенза
5598,48201,Adzhubei,Alexei,Alexeevich,(Институт молекулярной биологии им. В.А.Энгельгардта РАН),,Москва
5600,48199,Makarov,Alexander,Alekseevich,(Институт молекулярной биологии им. В.А.Энгельгардта РАН),,Москва
5601,48198,Kravatsky,Yuri,Vsevolodovich,(Институт молекулярной биологии им. В.А.Энгельгардта РАН),,Москва
5603,48196,Кравацкий,Юрий,Всеволодович,ИМБ РАН,,Москва
5604,48191,Голубев,Максим,Олегович,МФТИ,,Долгопрудный
5605,48186,Чистопольский,Илья,Александрович,Институт биологии развития им. Н.К.Кольцова РАН,,
5606,48160,Sekiguchi ,J.,J.,?,,
5607,48158,Жуковская,Александра,Олеговна,Томский государственный университет,,
5608,48157,Sherman,E.,E.,Nn,,
5625,48150,Хахулин,Геннадий,Федорович,МАИ,,Москва
5655,48121,Маркелов,Андрей,Викторович,Дизайн-студия Love Media,,Москва
5721,11724,Школьников,Вадим,Леонидович,ИПУ РАН,,Москва
5732,9809,Черникова,Ольга,Алексеевна,ИПУ РАН,,Москва
5860,11648,Озерова,Галина,Анатольевна,ИПУ РАН,,Москва
5927,11498,Носов,Виктор,Валентинович,ИПУ РАН,,Москва
5979,708,Сюняев,Шамиль,Ибрагимович,ИПУ РАН,,Москва
5990,35772,Манохин,Андрей,Иванович,ИПУ РАН,,Москва
5991,47787,Баженов,Вячеслав,Константинович,ИПУ РАН,,Москва
6016,47781,Фыонг,Н,З,?,,Москва
6017,47778,Скотченко ,А.,С.,ИИЯ МГПУ,,Москва
6018,47777,Федянина,В.,А.,ИИЯ МГПУ,,Москва
6019,47776,Фомкина ,М.,В.,ИИЯ МГПУ,,Москва
6020,47766,Вайсиулюс,Мариюс,Ромуальдович,Университет ,,Вильнюс
6021,47759,Makarenkov,Vladimir,.,Université du Québec à Montréal,,
6022,47742,Строгонов,Владимир,Иванович,ОАО НИИАС,,
6025,47725,Тимченко,Сергей,Викторович,ТГУ,,
6026,47723,Крайнов,Алексей,Юрьевич,ТГУ,,
6027,47721,Бондарчук,Сергей,Сергеевич,ТГПУ,,
6028,47720,Исхаков,Сергей,Юнусович,ТУСУР,,
6029,47718,Шелупанов,Александр,Александрович,ТУСУР,,
6030,47717,Усмонов,Ботир,Ш,Ташкентский университет информационных технологий,,
6033,47708,Карнышев,Владимир,Иванович,ТУСУР,,
6034,47707,Костюченко,Евгений,Юрьевич,ТУСУР,,
6035,47699,Половинкин,Евгений,Сергеевич,МФТИ,,Долгопрудный
6036,47694,Бирюков,Алексей,Викторович,МГИМО МИД России,,Москва
6043,47671,Древаль,Анатолий,Николаевич,НИ ТПУ,,
6044,47669,Ушакова,Наталья,Валерьевна,НИ ТПУ,,
6045,47667,Еменекова,Айсуу,Айдаровна,НИ ТПУ,,
6046,47666,Никитина,Юлия,Анатольевна,НИ ТПУ,,
6048,47660,Бородулин,Степан,Викторович,АО НИИАС,,
6049,47659,Симонов,Алексей,Викторович,АО НИИАС,,
6050,47657,Машталер,Юрий,Александрович,НИИАС,,Москва
6051,47626,Иванов,Григорий,Евгеньевич,Московский физико-технический институт,,Москва
6053,542,Опойцев,Валерий,Иванович,ИПУ РАН,,Москва
6054,481,Мельников,Лев,Иванович,ИПУ РАН,,Москва
6055,42305,Назаров,Алексей,Николаевич,ИПУ РАН,,Москва
6056,47618,Словохотов,Юрий,Леонидович,ИПУ РАН,"2019;Moscow MV Lomonosov State Univ, Dept Mat Sci, Moscow, Russia, 2019;Russian Acad Sci, Inst Control Sci, Moscow, Russia, 2019;ИПУ имени В.А. Трапезникова РАН",Москва
6061,47598,Шананин,Александр,Алексеевич,МФТИ,,Долгопрудный
6066,47572,Панфилов,Даниил,Николаевич,РУДН,,Москва
6067,47565,Горбунов,Денис,Андреевич,РУДН,,Москва
6068,47564,Голикова,Галина,Никитична,РУДН,,Москва
6069,47563,Мамонтов,Евгений,Константинович,РУДН,,Москва
6070,47554,Молчанов,Дмитрий,Александрович,Технологический университет Тампере,,
6071,47546,Григорьев,Илья,Сергеевич,МГУ им. М.В. Ломоносова,,Москва-Баку
6072,47545,Заплетин,Максим,Петрович,МГУ им. М.В. Ломоносова,,Москва
6073,47543,Щербатых,Юрий,Викторович,ВФ МГЭИ,,
6074,47533,Мосина,Алла,Николаевна,ВФ МГЭИ,,
6075,47514,Губарев,Игорь,Сергеевич,ВГУ,,
6076,47513,Китаев,Игорь,Владимирович,ВГУ,,
6077,47471,Рыбалка,Елена,Андреевна,ВГМА,,Воронеж
6078,47470,Лисичкина,Юлия,Андреевна,ВГМА,,Воронеж
6080,47465,Чурсин,Игорь,Юрьевич,ВГУ,,Воронеж
6081,47454,Пономарев,Александр,Сергеевич,ВГУ,,Воронеж
6082,47452,Тихомиров,Сергей,Германович,ВГУ,,Воронеж
6084,47437,Aranovskiy,Stanislav,-,Institut d&#039;Électronique et de Télécommunications de Rennes,,Rennes
6085,47432,Кондратьев,Андрей,Дмитриевич,ООО «Центр индустриальной аналитики»,,Москва-Париж-Лондон
6086,47431,Жагфаров,Ильдар,Фирдавесович,ООО &quot;ДжиИ Рус&quot;,,Москва
6087,47429,Лежнин,Дмитрий,Валерьевич,ЗАО &quot;ТЕХНОЛИНК&quot;,,Санкт-Петербург
6088,47414,Дауров,Алексей,Александрович,ТУСУР,,
6089,47413,Сенченко,Павел,Васильевич,ТУСУР,,
6090,47411,Руденко,Иван,Александрович,ТУСУР,,
6091,47408,Лебедкина,Надежда,Сергеевна,ТУСУР,,
6092,47398,Буинцев,Дмитрий,Николаевич,ТУСУР,,
6093,47389,Олейник,Елена,Анатольевна,ВГМА,,Воронеж
6094,47387,Запрягаев,Сергей,Александрович,ВГУ,,Воронеж
6095,47385,Неретина,Алла,Федоровна,ВГМА,,Воронеж
6096,47384,Авдонина,Вера,Юрьевна,Воронежский областной центр реабилитации «Парус надежды»,,Воронеж
6097,47382,Ипполитова,Людмила,Ивановна,ВГМА,,Воронеж
6098,47380,Махмуд,Нихад,Насер,ВГУ,,Воронеж
6099,47367,Ипполитов,Игорь,Юрьевич,ВГМА,,Воронеж
6100,47366,Кашкаров,Владимир,Михайловчи,ВГУ,,Воронеж
6101,47365,Середин,Павел,Владимирович,ВГУ,,Воронеж
6103,47358,Чеботкова,Альбина,Сергеевна,ВГМА,,Воронеж
6104,47355,Подвигина,Яна,Сергеевна,ВГУ,,Воронеж
6105,47344,Бартенев,Иван,Михайлович,Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,,Воронеж
6106,47341,Суровцев,Александр,Сергеевич,ВГУ,,Воронеж
6107,47335,Лысыч,Михаил,Николаевич,Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,,Воронеж
6108,47334,Бухтояров,Леонид,Дмитриевич,Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,,Воронеж
6109,47328,Гриднев,Сергей,Евгеньевич,ВГУ,,Воронеж
6110,47326,Моисеева,Наталья,Сергеевна,ВГМА,,Воронеж
6111,47325,Кунин,Анатолий,Абрамович,ВГМА,,Воронеж
6112,47317,Богатиков,Евгений,Васильевич,ВГУ,,Воронеж
6113,47314,Каледина,Елена,Яковлевна,ВГМА,,Воронеж
6114,47313,Хатунцев,Андрей,Владимирович,ВГМА,,Воронеж
6115,47312,Попова,Нина,Владимировна,ВГМА,,Воронеж
6116,47311,Малюкова,Оксана,Сергеевна,ВГМА,,Воронеж
6117,47310,Логвинова,Ия,Ивановна,ВГМА,,Воронеж
6118,47306,Ипполитов,Юрий,Алексеевич,ВГМА,,Воронеж
6119,47305,Арефьев,Ярослав,Викторович,ВГУ,,Воронеж
6120,47302,Пикалов,Владимир,Владимирович,ВГУ,,Воронеж
6121,47301,Рыбалкин,Евгений,Алексеевич,ВГУ,,Воронеж
6122,47300,Глущенко,Алексей,Сергеевич,ВГУ,,Воронеж
6123,47294,Алексеев,Александр,Викторович,ВГУ,,Воронеж
6124,47292,Адаменко,Александр,Александрович,ВГУИТ,,Воронеж
6125,47291,Антонова,Анастасия,Юрьевна,ТУСУР,,
6126,47289,Щербаков,Василий,Николаевич,ТУСУР,,
6127,47288,Мухортов,Семен,Сергеевич,БУЗ ВО «Воронежская областная клиническая больница №1»,,Воронеж
6128,47287,Болдырев,Сергей,Владимирович,ВГУ,,Воронеж
6129,47286,Горшкова,Светлана,Сергеевна,БУЗ ВО «Воронежская областная клиническая больница №1»,,Воронеж
6130,47285,Мамаев,Александр,Васильевич,ВГУ,,Воронеж
6131,47284,Чуприна,Светлана,Евгеньевна,БУЗ ВО «Воронежская областная клиническая больница №1»,,Воронеж
6132,47281,Фисенко,Константин,Иванович,ВГУ,,Воронеж
6137,47273,Ходашинский,Илья,Александрович,ТУСУР,,Томск
6138,47272,Ехлаков,Юрий,Петрович,ТУСУР,,Томск
6139,47269,Максимов,Алексей,Владимирович,ВГУ,,Воронеж
6140,47266,Семенов,Александр,Германович,ВГУ,,Воронеж
6141,47263,Белобродский,Владимир,Андреевич,ВГУ,,Воронеж
6142,47262,Борзунов,Сергей,Викторович,ВГУ,,Воронеж
6143,47261,Вахтин,Алексей,Александрович,ВГУ,,Воронеж
6144,47260,Кургалин,Сергей,Дмитриевич,ВГУ,,Воронеж
6145,47257,Климюк,Игорь,Юрьевич,?,,
6147,47248,Расулова,Диляра,Зейналовна,Казахская академия спорта и туризма,,Алматы
6148,47247,Матвейчева,Дарья,Владимировна,Казахская академия спорта и туризма,,Алматы
6149,47205,Крылов,Павел,Андреевич,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6150,47203,Терпиловский,Алексей,Анатольевич,ООО &quot;Лаборатория виртуальной биологии&quot;,,Москва
6151,47202,Тирас,Харлампий,Пантелеевич,Институт теоретической и экспериментальной биофизики РАН,,
6152,47198,Лосев,Александр,Георгиевич,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6153,47197,Хоперсков,Александр,Валентинович,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6154,47193,Колесников,Андрей,Михайлович,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6155,47192,Светлов,Андрей,Владимирович,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6156,47187,Зекий,Ангелина,Олеговна,ФГАОУ ВО Первый МГМУ им. И.М. СеченоваФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России,,Москва
6157,47185,Борытко,Николай,Михайлович,ФГАОУ ВО &quot;Волгоградский государственный университет&quot;,,Волгоград
6158,47176,Kruglikov,B,S,Arctic University of Norway,,Tromso
6159,47170,Pavlov,Maxim,V.,Lebedev Physical Institute of Russian Academy of Sciences ,,Moscow
6160,47164,Lelito,Aleksandra,-     ,AGH UST,,Krakow
6162,34955,Голубцов,Михаил,Петрович,ИПУ РАН,,Москва
6168,15181,Кузичев,Илья,Валерьевич,ИПУ РАН,,Москва
6169,43427,Лотоцкий,Алексей,Владимирович,ИПУ РАН,,Москва
6170,32400,Красильщик,Иосиф,Семенович,ИПУ РАН,"2019;Independent Univ Moscow, B Vlasevsky 11, Moscow 119002, Russia, 2019;Independent University of Moscow, 2019;RAS, VA Trapeznikov Inst Control Sci, Profsoyuznaya 65, Moscow 117342, Russia, 2019;Trapeznikov Inst Control Sci, 65 Profsoyuznaya St, Moscow 117997, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences RAS, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
6179,38077,Яцкин,Данил,Владиленович,ИПУ РАН,,Москва
6180,35726,Малахов,Александр,Игоревич,ИПУ РАН,,Москва
6182,42085,Соколов,Сергей,Валерьевич,ИПУ РАН,,Москва
6184,47120,Трунов,Леонид ,Юрьевич,МИСиС,,Москва
6194,47097,Bialek,Januzs,no,Сколковский Инстутит Науки и Технологий,,
6197,47082,Рудников,А.,И.,-,,
6198,47081,Котов,С.,А.,-,,
6200,47079,Галата,А.,А.,-,,
6201,47078,Ахтямова,М.,Л.,-,,
6203,12556,Иванюк,Вера,Алексеевна,ИПУ РАН,,Москва
6205,35419,Борковская,Виктория,Геннадьевна,ИПУ РАН,,Москва
6208,32415,Пономарев,Роман,Олегович,ИПУ РАН,,Москва
6209,18600,Тевосян,Вачик,Эдвардович,ИПУ РАН,,Москва
6210,17938,Бордуков,Дмитрий,Александрович,ИПУ РАН,,Москва
6211,34714,Смольников,Родион,Владимирович,ИПУ РАН,,Москва
6213,44201,Агзямов,Рустем,Альфатович,ИПУ РАН,,Москва
6214,34673,Ширванян,Артём,Мартиросович,ИПУ РАН,,Москва
6216,550,Паленов,Максим,Владимирович,ИПУ РАН,,Москва
6217,44510,Покусаев,Павел,Олегович,ИПУ РАН,,Москва
6219,29106,Алмастян,Наируи,Акоповна,ИПУ РАН,,Москва
6221,31405,Тарасов,Илья,Алексеевич,ИПУ РАН,,Москва
6222,9963,Зацепилова,Жанна,Валерьевна,ИПУ РАН,,Москва
6223,47056,Cegarra,Julien,?,Institut National Universitaire Champollion,,Albi
6224,47045,Цвет,Елена,Николаевна,Алтайский экономико-юридический институт,,Барнаул
6225,47001,Пикина,Галина,Алексеевна,ИПУ РАН,,Москва
6226,13222,Ратнер,Павел,Дмитриевич,ИПУ РАН,,Москва
